molecule_chembl_id,canonical_smiles,bioactivity_class,value_uM
CHEMBL364378,CCCc1cc2c(oc(=O)n2CC)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.099
CHEMBL192636,CCCc1cc2c(oc(=O)n2CCC)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.087
CHEMBL193082,CCCc1cc2c(oc(=O)n2C(C)C)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.051
CHEMBL364274,CCCc1cc2c(oc(=O)n2CC2CC2)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.12
CHEMBL192521,CCCc1cc2c(oc(=O)n2CC(F)(F)F)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.11
CHEMBL372220,CCCc1cc2c(oc(=O)n2C(C)C)c(CCC)c1O[C@H](C(=O)O)c1ccccc1,Full Inhibitor,1.79
CHEMBL188095,CCCc1cc2c(oc(=O)n2CC)c(CCC)c1O[C@H](C(=O)O)c1ccc(Cl)cc1,Full Inhibitor,0.22
CHEMBL371778,CCCc1c(O[C@H](C(=O)O)c2ccc(C(C)C)cc2)c(Cl)cc2c1oc(=O)n2CC,Full Inhibitor,0.52
CHEMBL427530,CCCc1cc2c(=O)n(C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccccc1,Full Inhibitor,3.8
CHEMBL191149,CCCc1cc2c(=O)n(C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.21
CHEMBL191556,CCCc1cc2c(=O)n(C(C)C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.16
CHEMBL190169,CCCc1cc2c(=O)n(C3CCCCC3)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.44
CHEMBL365097,CCCc1cc2c(=O)n(C(C)C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(CC(C)C)cc1,Full Inhibitor,0.26
CHEMBL364467,CCCc1cc(C(=O)CC)cc(CCC)c1OC(C(=O)O)c1ccccc1,Full Inhibitor,2.76
CHEMBL371195,CCCc1cc(C(=O)C(C)C)cc(CCC)c1OC(C(=O)O)c1ccccc1,Full Inhibitor,3.16
CHEMBL191235,CCCc1cc(C(=O)C(C)(C)C)cc(CCC)c1OC(C(=O)O)c1ccccc1,Full Inhibitor,2.7
CHEMBL366207,CCCc1cc(C(=O)c2ccccc2)cc(CCC)c1OC(C(=O)O)c1ccccc1,Full Inhibitor,4.68
CHEMBL427520,CCC(=O)c1ccc(OC(C(=O)O)c2ccccc2)cc1,Partial Inhibitor,50.0
CHEMBL371112,CCC(=O)c1cc(C(C)CC)c(OC(C(=O)O)c2ccccc2)c(C(C)CC)c1,Partial Inhibitor,50.0
CHEMBL189950,CCC(=O)c1cc(C)c(OC(C(=O)O)c2ccccc2)c(C)c1,Partial Inhibitor,50.0
CHEMBL366220,CCC(=O)c1cc(Cl)c(OC(C(=O)O)c2ccccc2)c(Cl)c1,Partial Inhibitor,50.0
CHEMBL189066,CCCc1cc(C(=O)CC)cc(C)c1OC(C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.26
CHEMBL426451,CCCc1cc(C(=O)CC)cc(Cl)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.22
CHEMBL370021,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(CC)cc1,Full Inhibitor,0.21
CHEMBL188751,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(CC(C)C)cc1,Full Inhibitor,0.22
CHEMBL187557,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.075
